frame,landmark,x,y
1,nose,805,971
1,armA_out,722,1012
1,armA_in,745,1017
1,apex_in,801,1022
1,armB_in,845,1035
1,armB_out,872,1050
2,nose,818,826
2,armA_out,714,858
2,armA_in,732,872
2,apex_in,807,866
2,armB_in,855,890
2,armB_out,881,901
3,nose,775,608
3,armA_out,662,546
3,armA_in,690,588
3,apex_in,714,624
3,armB_in,706,657
3,armB_out,718,700
4,nose,870,1078
4,armA_out,868,924
4,armA_in,822,968
4,apex_in,820,1020
4,armB_in,748,1032
4,armB_out,720,1057
5,nose,833,1307
5,armA_out,958,1288
5,armA_in,938,1264
5,apex_in,858,1250
5,armB_in,856,1204
5,armB_out,819,1187
