metabolite	PMN_74	PMN_75	PMN_76	PMN_77	PMN_78	PMN_79	PMN_80	PMN_81	PMN_82	PMN_83	PMN_84	PMN_85	PMN_86	PMN_87	PMN_88	PMN_89	PMN_90	PMN_91	PMN_92	PMN_02	PMN_03	PMN_04	PMN_05	PMN_06	PMN_07	PMN_08	PMN_10	PMN_12	PMN_13	PMN_14	PMN_15	PMN_16	PMN_19	PMN_21	PMN_22	PMN_25	PMN_27	PMN_28	PMN_29	PMN_32	PMN_34	PMN_35	PMN_36	PMN_38	PMN_40	PMN_41	PMN_42	PMN_43	PMN_46	PMN_48	PMN_49	PMN_50	PMN_51	PMN_52	PMN_53	PMN_54	PMN_55	PMN_56	PMN_57	PMN_58	PMN_59	PMN_60	PMN_61	PMN_62	PMN_63	PMN_64	PMN_65	PMN_66	PMN_67	PMN_68	PMN_69	PMN_70	PMN_71	PMN_72	PMN_73
1,3/ 2,3-Bisphosphoglycerate	67078.556	110921.25	256690.6	2497939.3	4751703.4	698068.63	343860.38	319970.5	72096.47	4157433.4	1567854.6	1172668.1	2375368.2	25698512	2438643	2005103.3	10083218	8171324.8	15697150	1729310.7	37949867	5790131.5	7113557	426882.72	133967.77	1399848.6	57929.043	934578.14	4342435.6	23820.071	2516314.7	2089735.2	311206.89	2395949.4	355234.83	869273.14	1030133.2	126902.02	8440963.8	916780.57	582020.16	154858.64	23710.505	1.2052792e+09	314754.44	4062496.8	64497.514	1026120.7	571642.34	227758.22	5028283.5	371497.85	23211.624	265305.15	422152.04	762748.31	95663.214	565619.04	625706.2	464457.41	3778.7014	192766.31	6891.4026	90885.826	206351.3	20738.727	968205.71	5578323.7	59037.307	99456.854	1071722	3155035.7	3392.2497	114836.42	49255.853
1-Methylhistidine	46174317	82485492	64850135	35980813	1.3671531e+08	1.6588278e+08	59938165	53586720	1.5071601e+08	1.2441427e+08	1.9440558e+08	55181747	84446872	69410788	1.4052842e+08	1.4148698e+08	55477600	1.0066051e+08	92439818	53497724	1.7519286e+08	75164711	81981118	45890830	96118752	47029547	75845081	26065166	37503763	61996924	39088544	4.0023784e+08	22813261	44422090	1.5305295e+08	95560437	52901079	92970711	36875357	37063817	66862280	45090861	3.4546678e+08	3.8728373e+08	44718004	3.7219177e+08	82277272	1.9600778e+08	1.7047646e+08	65996684	64563875	3.8359623e+08	1.5285238e+08	1.9055033e+08	2.0748712e+08	67750227	1.6584616e+08	30889046	2.3910396e+08	26004310	5.0051279e+08	35090030	38208078	64753301	1.1692819e+08	3.0660563e+08	54743505	74518571	1.1147159e+08	8.0845332e+08	79210648	74824667	1.0947671e+08	1.1200898e+08	74472686
3-Methylhistidine	5680952.8	32381514	94693846	5005043.2	18656669	1.355801e+08	12960578	4876597.4	2.697154e+08	3.8499857e+08	87133623	40751039	7608427.4	17835635	87334696	1.1692461e+08	19649848	18552100	2.0378273e+08	21260702	1.5602186e+08	1.0073807e+08	30525588	56277315	1.2037151e+08	5240110.8	1.045888e+08	50893865	1.5784607e+08	75038760	47897196	96777876	2804035.9	11222776	2.2406415e+08	1.5145759e+08	1.780982e+08	6652824.2	43815716	16200436	54964893	31130965	1.3085587e+08	9.3192032e+08	6805396.6	6.8225365e+08	1.2423626e+08	2.0923202e+08	31113454	20933179	4379661.8	76818592	5929522.2	43113807	19034763	2.7191574e+08	11208018	42760286	12173115	3901565.5	19275135	10911485	15061117	1571582.8	5598456.5	10168014	3804843.1	6931775.6	2528318.6	1.5928293e+08	7029294.9	7516942.4	19106887	15961947	6481124.1
2-/3-Phosphoglycerate	2202881.5	16309186	8835056.9	6951401.7	5773751.4	3675640.1	5782527.5	10410848	11313540	5536252.1	15457906	11338593	6279627.1	15092525	13169455	15724976	12361212	6729274.7	6905517.1	21741729	22244181	21304611	43798997	13996773	7891997.5	12169770	15434192	10355118	17576860	9280180.6	7109456.7	28300569	5711009.6	32300406	6393222.3	6505926.3	13597414	6851198	25050126	13288268	9383418.7	10650318	9825431.2	75650340	13610117	18120823	8439556.7	10068785	13230549	4023586.8	41606598	7328148.2	7699408.4	8127620.8	5270912	7848646.9	8557952.3	11037041	5774388.5	14881898	16170041	41241103	6320001	9146275.1	11024711	17774289	10579775	7852182.5	8955219	8535543.8	8772410.3	33576167	11093463	11483152	4420363.8
2-Hydroxybutyrate	6355155.2	28185102	158560.26	170821.36	1887084.6	5251303.4	159175.82	337044.79	235321.35	132538.2	76071495	255484.88	1053261.7	2441049.7	1580576.4	145908.45	4589008.7	2375192.6	2223107.2	5370694.1	1559171.7	187134.48	208251.68	189102.54	5825230.5	3925919.2	2439513.3	2325657	2083076.6	3917104.1	3901935.3	1855959.7	11691988	3174434.8	5719689.6	5882948.2	9642387.3	4761445.5	9074389.1	257285.2	145834.19	311654.55	315578.46	1653047.7	1531901.2	3145174.8	368266.16	204489.74	1187568.5	207345.2	248467.43	198543.25	2339272.1	305508.98	2376649.2	1655551.1	248292.5	258884.42	247408.95	164596.09	1498881.3	3989376.9	7790558.6	3642722.9	4345327.7	236828.68	1198947.4	217882.11	3373834.6	225112.35	264701.4	208398.29	1242995.7	252282.72	1110491.4
2-Hydroxyglutarate	2.6689804e+08	1.1865501e+08	78739131	81269452	61811091	2.6478138e+08	62344352	1.0957825e+08	72301160	1.2189924e+08	1.159723e+08	1.1894787e+08	1.1763398e+08	1.4577735e+08	1.4493435e+08	1.0637939e+08	1.0059959e+08	57166299	99614983	59888301	1.532989e+08	1.1704765e+08	1.523835e+08	1.0800328e+08	1.5534009e+08	60727877	82131904	78895911	1.0914347e+08	1.9731912e+08	1.0604989e+08	1.2321719e+08	2.7785462e+08	1.3068267e+08	1.1353702e+08	1.2130214e+08	2.0462215e+08	51313320	76644733	59683217	99398647	69482157	3.5921105e+08	65379239	1.0083597e+08	45126889	2.372962e+08	1.0057289e+08	92685497	87372357	99504346	88974790	1.4613839e+08	1.8492215e+08	1.3483889e+08	1.8931374e+08	1.2808029e+08	1.233306e+08	1.1706181e+08	1.7105812e+08	81395816	61658864	1.0770638e+08	1.0665766e+08	77138606	1.3430018e+08	1.2488774e+08	26830355	1.6226604e+08	1.0142619e+08	1.6279002e+08	1.6593331e+08	68185243	2.6880828e+08	60126359
2-Mannosyl-3-phosphoglycerate	5.6855138e+08	74933299	5207213.6	1634646.8	37573858	59061522	3.445104e+08	9628216.1	3668659.1	6864276.1	33687248	4937667.3	3556028.1	5528960.9	6172044.8	1285885.8	10705519	20646940	5046744.7	1630522.8	5236828.2	5760611.2	7170008	1695695.5	13209184	3356065.9	2538667.6	2747153	2001526	2440060.6	3454336.1	5422560.1	503354.27	2735116.3	355932.09	2084323.9	8731935.3	5026925.6	11309579	11338510	17517271	2614252.8	1105612.2	13350823	4009001.5	1470538.7	537960.01	2333115.4	2066118.9	6676182	2195345.7	1260329.9	8631895.3	2536997	13230549	10689668	4694801.3	4224809.4	4541227.9	674806.49	2419543.3	1307986.9	1136824.4	4549043.5	1410204.7	7881275.4	7289085.3	7888676	5306648.8	6829372.3	7304856.7	1007805.6	6446704.2	5140223.7	38601278
2-Methylmaleate	16951900	17017679	21120915	9306499.9	20836640	20726148	8765805.3	10401480	17793530	23377276	32880949	11678066	9584212.8	17148052	25973112	15669016	24446246	14150933	13976781	18809692	20433890	24692101	15459340	8362598.2	17492983	23958804	15733907	15365446	12378026	9798502.3	13039710	8610388.2	9148046	8047504.3	13080188	12299880	9470921.3	19511593	31336489	11761067	17026661	10720003	739336.64	24850880	6373332	29822084	7861045.7	16661450	19370192	7809036.1	20799241	8745982.2	18697840	11970949	13328113	10290787	4833195.6	13053140	8197418.2	3436224.6	8305521.8	10576425	5633328.1	11437957	6882534.2	11010101	9749438.5	7449397.7	17516472	5255237.1	13927416	9566492.6	13885572	2955237.4	11675281
β-Hydroxycarnitine (14:0)	3693630.6	5734517.4	7384442.1	12358233	11488172	6923920.6	7684555.8	5752802.8	9070806.8	8743508.5	8624420.8	5280800.3	11665989	7419708.3	7874918	8820138.6	4318862.4	9236749.2	9437470.5	4090903.5	14406698	4817629.3	5481350	7426752.4	6883871.4	8622605.4	4262382.3	5659384.6	9943249.6	11681221	8076905	3942124.8	6151956	5637254.6	11038593	6611013.5	5694454.7	13399866	2718268.6	4795025.5	8394810.1	6246382.2	3137472.7	4801705.2	11944313	11467651	17040021	9710582.1	8379651.9	5805252.3	5209228	9664164.9	10757258	9170250.4	7688122.6	22906161	13581092	12456556	10687899	27128612	6650274.2	7178294.1	9068957.5	6841075.7	13230549	13432622	13639109	9811932.9	8247546.6	23689055	7565892.3	21129586	8332734.7	11382166	4945885
β-Hydroxycarnitine (16:0)	2236287.2	2870392.8	5108058.3	13252389	8028945.1	4590260.8	9710818.4	4282435.1	6250600.6	3831575.6	6402694.5	3169031	5111212.2	4439734.3	4231467.8	4822011.9	3060789.5	7982899.3	6438407.2	2800635.2	9996151.4	2836288.3	4207307.4	5023653.3	3370454.2	4938588	3540824.2	3587223.2	7833991	6649954.4	5548147.6	2911331.5	3772280.2	6138425.4	6849152.3	5183798	4467416.1	6704089	3291570.7	4553795.7	7266016.4	6243414.6	4708758.7	2838900.1	10610345	5658780.1	8418857.8	9026090.5	7231471.5	3736298.9	3138084.2	7187570.2	13230549	7031342.5	7472460.5	20962533	12792001	7246921.8	6941931.7	36393733	7877178.1	3725693.4	6846631.1	5392848.9	8392356.4	13230549	9281228.2	8969226.2	9035992.6	12349972	8687538	10743311	9199093.3	7830599	3265156.6
