user_id,Action,Adventure,Children's,Comedy,Crime,Drama,Horror,Mystery,Romance,Sci-Fi,Thriller,War
1,75,42,25,91,25,107,13,5,44,43,52,25
5,56,33,29,82,9,27,28,3,19,33,19,14
6,25,22,20,66,14,104,4,12,41,13,24,21
7,95,58,36,88,32,146,47,21,56,48,77,41
10,25,14,8,47,16,81,6,15,36,12,34,20
11,33,16,6,74,14,82,5,12,42,23,33,18
13,156,73,52,188,45,218,75,33,105,65,121,41
16,30,12,11,39,19,56,9,8,27,16,34,13
18,25,18,19,102,12,141,5,9,68,15,23,27
21,39,16,12,32,15,47,61,9,15,23,66,6
22,66,35,8,72,8,16,5,3,19,25,23,15
23,39,28,15,50,7,54,5,5,34,30,21,13
26,35,17,4,33,9,41,3,6,20,16,29,8
28,26,16,3,11,6,18,22,3,7,27,31,5
42,43,31,21,59,6,66,8,5,43,25,36,10
43,51,28,27,87,17,81,7,8,60,20,40,18
44,44,34,16,44,10,51,11,8,25,37,34,18
49,37,20,29,88,25,71,18,8,35,28,41,7
54,29,15,3,11,9,21,3,8,10,11,30,5
56,70,41,25,81,7,39,10,3,36,37,39,12
58,25,16,6,59,14,67,3,7,37,18,30,13
59,73,44,31,107,23,162,25,16,75,39,71,33
60,42,29,19,51,8,85,12,15,36,30,38,24
62,64,42,14,60,13,108,10,7,54,35,48,26
64,60,37,19,56,16,78,12,6,36,33,39,26
70,48,37,34,42,5,28,7,4,20,34,21,11
82,30,25,23,54,9,58,10,9,32,16,27,18
83,46,29,29,74,5,42,4,6,33,13,32,12
85,46,32,23,87,11,152,4,14,52,26,29,33
90,31,15,9,78,20,173,8,19,69,11,49,29
91,33,18,6,11,7,46,6,9,15,16,24,19
92,103,55,24,130,33,133,28,15,69,56,101,27
94,102,52,37,128,33,155,29,16,67,47,74,34
95,78,55,47,81,8,97,17,9,57,36,44,29
96,15,5,4,15,7,17,5,3,11,11,15,7
97,16,14,4,20,3,22,3,4,8,18,13,6
102,101,49,17,70,23,39,28,10,32,45,57,17
109,87,47,15,72,22,72,16,7,36,41,64,17
110,50,13,4,48,14,43,6,4,26,11,40,8
115,25,11,3,12,11,41,4,4,12,12,27,9
116,33,15,5,20,14,72,5,16,28,20,44,11
119,60,32,4,43,15,82,3,5,31,25,50,15
125,33,17,9,118,8,41,3,7,37,20,24,21
130,120,57,35,92,30,102,35,12,47,55,102,17
