user_id,Action,Adventure,Children's,Comedy,Crime,Drama,Horror,Mystery,Romance,Sci-Fi,Thriller,War
1,3.3333,2.9286,2.2000,3.4725,3.4400,3.9252,3.4615,3.6000,3.9318,4.0000,3.6154,3.6800
5,3.1429,3.2424,2.4483,3.0000,3.8889,2.6667,2.5357,3.0000,2.3158,3.5152,2.9474,3.2143
6,3.3600,3.4545,3.0500,3.5000,3.7143,3.7308,4.0000,4.2500,3.7805,3.4615,3.9583,3.8095
7,3.8842,4.0000,4.0556,3.8295,4.0000,4.2123,3.5532,3.9048,3.8571,3.9792,3.9221,4.4878
10,4.2800,4.3571,4.2500,3.9362,4.5000,4.2716,4.5000,4.6000,4.1667,4.2500,4.3235,4.4000
11,3.0606,3.1250,3.3333,3.4189,3.3571,3.7561,3.2000,3.4167,3.5000,3.3913,3.1818,3.4444
13,3.0513,3.0959,2.9038,3.0372,3.1333,3.5367,1.7067,3.0909,3.3714,3.2154,2.9008,3.5366
16,4.6000,4.6667,4.7273,4.0000,4.7368,4.3750,4.3333,4.5000,4.1481,4.6250,4.4412,4.1538
18,3.8000,3.7778,3.9474,3.7059,4.2500,4.0851,3.2000,3.8889,3.7206,3.4000,3.8696,4.0000
21,2.5641,2.3750,2.5000,2.9375,3.4000,2.9574,2.7377,2.4444,2.5333,2.5217,2.6061,2.5000
22,3.7727,3.4571,1.2500,2.9861,4.0000,4.4375,3.8000,1.0000,3.6316,3.8800,3.7826,3.6667
23,3.3077,3.6786,3.7333,3.6400,3.8571,3.8148,2.4000,4.2000,3.5588,3.6333,3.5714,3.5385
26,2.8000,2.8824,3.2500,2.7273,3.7778,3.2927,3.0000,3.0000,3.3000,2.8750,2.8621,3.1250
28,3.7308,3.6250,2.6667,3.4545,3.8333,3.9444,3.6818,3.0000,3.7143,3.7778,3.8710,4.0000
42,4.0465,4.0645,4.3810,3.7458,3.8333,3.6515,2.5000,3.8000,3.7674,4.1600,3.7500,4.1000
43,3.7451,3.8929,3.5185,3.7471,4.0000,3.7037,2.2857,4.0000,3.8167,3.5000,3.7250,3.5556
44,3.5909,3.5882,3.5000,3.4091,3.6000,3.7255,3.4545,3.8750,3.4400,3.8649,3.5294,4.1667
49,1.6757,2.0000,2.7931,2.6591,3.2400,2.9437,2.3889,2.8750,2.3429,2.0357,2.4634,1.4286
54,3.5862,3.2667,3.0000,3.5455,3.6667,4.2381,3.3333,3.8750,4.5000,4.1818,3.5667,4.4000
56,3.8286,3.8537,3.4000,3.3580,4.0000,3.8974,4.2000,4.0000,3.6667,4.0541,3.7949,4.1667
58,3.7200,3.9375,3.3333,3.7966,3.6429,3.9104,3.0000,4.4286,3.5135,4.0000,3.7000,3.5385
59,4.1233,3.9773,2.8387,3.6449,4.4348,4.2222,4.4000,4.0000,3.8800,4.1282,4.1690,4.2727
60,4.0000,3.8966,3.5263,3.8824,4.0000,4.2000,4.1667,4.5333,4.0278,4.1667,4.1579,4.4167
62,3.2188,3.2381,3.2857,3.2500,4.0000,3.5370,2.3000,3.7143,3.3148,3.6286,3.0417,3.8077
64,3.5500,3.6757,3.3158,3.5179,3.8125,3.7051,3.5833,3.3333,3.6111,3.7879,3.3590,3.7692
70,3.5000,3.3784,3.2059,3.4048,3.4000,3.6429,3.7143,3.0000,3.7500,3.5000,3.6190,4.0000
82,2.9667,2.9600,2.9565,2.9815,3.5556,3.2759,1.8000,3.8889,3.4688,2.8750,3.0000,3.6111
83,3.7174,3.6552,3.1724,3.1892,2.8000,3.4048,2.5000,3.8333,3.6364,3.8462,3.8438,3.3333
85,3.4130,3.2500,3.5217,3.5402,3.8182,3.5526,4.0000,3.5000,3.7692,3.6538,3.3103,3.7576
90,4.0645,4.1333,4.1111,4.1795,4.3500,4.1503,4.3750,4.6316,4.2754,4.1818,4.3469,4.3793
91,4.2121,4.0556,2.6667,3.4545,3.5714,3.9565,4.0000,4.0000,3.4667,4.3750,4.1250,4.3158
92,3.0583,3.0545,2.9167,3.0923,3.5152,3.6917,2.8571,3.3333,3.3768,3.1964,3.1782,3.8148
94,3.2745,3.2308,3.4054,3.4219,3.8182,4.0194,3.4828,3.6875,3.5672,3.4255,3.4054,4.0588
95,3.3462,3.2364,3.2979,3.4321,3.0000,3.5464,2.8235,3.2222,3.5789,3.2500,3.2727,3.8276
96,4.3333,4.4000,5.0000,3.5333,4.2857,4.7647,4.4000,3.6667,4.0000,4.6364,4.4667,4.5714
97,4.2500,4.2143,4.5000,4.2500,3.3333,3.7727,5.0000,4.2500,3.3750,4.7778,4.4615,3.6667
102,2.5644,2.5714,2.5882,2.5857,2.6957,2.7436,2.5714,2.6000,2.7188,2.7111,2.6316,2.7647
109,3.8046,4.0426,3.7333,3.2083,3.3182,3.2778,3.1875,3.7143,3.6111,4.0976,3.6875,4.0000
110,3.1200,2.6154,3.2500,2.7708,2.7857,3.2326,3.1667,3.7500,3.2692,3.0909,3.3250,3.6250
115,4.0400,4.2727,2.3333,3.5000,4.6364,4.0488,4.7500,4.7500,3.4167,4.1667,4.0000,3.5556
116,2.9091,3.0000,3.0000,2.7000,3.5000,3.1667,2.6000,2.8125,2.9643,2.7500,2.6364,3.4545
119,3.8000,3.8750,3.2500,3.9070,3.6667,4.2317,3.3333,4.2000,4.1935,3.4400,3.7600,4.4667
125,4.1515,4.3529,3.5556,3.1017,2.3750,3.4390,2.6667,3.8571,4.0270,3.8500,3.9583,4.1905
130,3.8833,3.9298,4.2571,3.8804,3.9000,4.2059,3.9143,3.9167,4.2979,3.9273,3.9608,4.2941
144,3.5833,3.6667,3.8571,3.7308,3.7143,3.7672,2.6000,3.5000,3.8293,3.4348,3.4545,3.9091
145,3.7160,3.3182,1.9231,3.1290,3.8966,3.4314,3.5758,3.2632,3.2167,3.6531,3.5657,4.2105
151,3.6889,4.1071,3.8667,4.0273,3.6667,4.0073,3.1818,3.7500,4.1842,4.1000,3.7391,4.2800
160,3.7917,3.5385,2.6000,3.7273,4.4706,4.0784,4.5000,4.0000,4.0625,3.1818,3.9231,4.2857
177,3.5455,3.9000,1.6667,3.2083,3.9524,3.7500,3.8333,3.2500,3.4444,3.5455,3.6176,3.3636
178,3.8046,4.0000,3.6000,3.6538,3.5714,3.7778,3.8000,3.1333,3.7941,3.6364,3.4348,4.0000
