date,META,AAPL,AMZN,NFLX,GOOGL,NVDA,AZN
2022-09-01,165.360000,157.960000,127.820000,23.004000,109.740000,13.937000,118.060000
2022-09-02,160.320000,155.810000,127.510000,22.611000,107.850000,13.647000,126.590000
2022-09-06,158.540000,154.530000,126.110000,21.839000,106.810000,13.465000,117.010000
2022-09-07,160.390000,155.960000,129.480000,22.896000,109.450000,13.714000,113.760000
2022-09-08,162.060000,154.460000,129.820000,22.744000,108.380000,13.990000,118.960000
2022-09-09,169.150000,157.370000,133.270000,23.357000,110.650000,14.387000,122.710000
2022-09-12,168.960000,163.430000,136.450000,23.653000,110.860000,14.505000,118.910000
2022-09-13,153.130000,153.840000,126.820000,21.813000,104.320000,13.131000,117.460000
2022-09-14,151.470000,155.310000,128.550000,22.412000,105.000000,13.128000,116.370000
2022-09-15,149.550000,152.370000,126.280000,23.538000,102.910000,12.929000,112.810000
2022-09-16,146.290000,150.700000,123.530000,24.013000,102.800000,13.198000,113.000000
2022-09-19,148.020000,154.480000,124.660000,24.363000,103.070000,13.382000,110.960000
2022-09-20,146.090000,156.900000,122.190000,24.285000,101.140000,13.176000,110.510000
2022-09-21,142.120000,153.720000,118.540000,23.687000,99.280000,13.261000,114.155000
2022-09-22,142.820000,152.740000,117.310000,23.705000,100.140000,12.561000,111.600000
2022-09-23,140.410000,150.430000,113.780000,22.641000,98.740000,12.516000,108.350000
2022-09-26,136.370000,150.770000,115.150000,22.407000,98.170000,12.228000,104.500000
2022-09-27,134.400000,151.760000,114.410000,22.436000,97.500000,12.413000,106.500000
2022-09-28,141.610000,149.840000,118.010000,24.520000,100.050000,12.736000,108.260000
2022-09-29,136.410000,142.480000,114.800000,23.971000,97.420000,12.220000,109.000000
2022-09-30,135.680000,138.200000,113.000000,23.544000,95.650000,12.139000,107.100000
2022-10-03,138.610000,142.450000,115.880000,23.904000,98.640000,12.512000,111.250000
2022-10-04,140.280000,146.100000,121.090000,24.074000,101.640000,13.167000,113.000000
2022-10-05,138.980000,146.400000,120.950000,23.673000,101.430000,13.209000,112.140000
2022-10-06,139.070000,145.430000,120.300000,24.002000,101.420000,13.130000,109.120000
2022-10-07,133.450000,140.090000,114.560000,22.475000,98.680000,12.076000,109.500000
2022-10-10,133.790000,140.420000,113.670000,22.998000,97.860000,11.670000,110.600000
2022-10-11,128.540000,138.980000,112.210000,21.429000,97.180000,11.586000,109.160000
2022-10-12,127.500000,138.340000,112.900000,22.087000,97.560000,11.500000,109.100000
2022-10-13,130.290000,142.990000,112.530000,23.251000,99.060000,11.960000,107.600000
2022-10-14,126.760000,138.380000,106.900000,23.000000,96.560000,11.227000,111.350000
2022-10-17,134.040000,142.410000,113.790000,24.510000,99.970000,11.888000,114.300000
2022-10-18,132.800000,143.750000,116.360000,24.086000,100.770000,11.967000,109.880000
2022-10-19,133.230000,143.860000,115.070000,27.238000,99.630000,12.051000,108.250000
2022-10-20,131.530000,143.390000,115.250000,26.816000,99.970000,12.194000,109.880000
2022-10-21,130.010000,147.270000,119.320000,28.957000,101.130000,12.466000,109.900000
2022-10-24,129.720000,149.450000,119.820000,28.245000,102.520000,12.599000,108.960000
2022-10-25,137.510000,152.340000,120.600000,29.102000,104.480000,13.261000,111.199900
2022-10-26,129.820000,149.350000,115.660000,29.862000,94.930000,12.896000,114.475000
2022-10-27,97.940000,144.800000,110.960000,29.694000,92.220000,13.176000,115.350000
2022-10-28,99.200000,155.740000,103.410000,29.572000,96.290000,13.834000,114.400000
2022-10-31,93.160000,153.340000,102.440000,29.188000,94.510000,13.497000,116.440000
2022-11-01,95.200000,150.650000,96.790000,28.675000,90.470000,13.543000,118.100000
2022-11-02,90.540000,145.030000,92.120000,27.300000,86.970000,13.219000,120.000000
2022-11-03,88.910000,138.880000,89.300000,26.906000,83.430000,13.421000,120.950000
2022-11-04,90.790000,138.380000,90.980000,26.079000,86.580000,14.156000,119.940000
2022-11-07,96.720000,138.920000,90.530000,25.860000,88.490000,14.301000,120.220000
2022-11-08,96.470000,139.500000,89.980000,26.346000,88.900000,14.602000,121.240000
2022-11-09,101.470000,134.870000,86.140000,25.466000,87.320000,13.776000,120.500000
